Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Variant Image,Variant Weight Unit,Status
"conjunto-afrodite","Roupas de Cama Afrodite  / 3 Peças em Algodão Super Soft","<h2><em><strong>RENOVE A APARÊNCIA DE SEU QUARTO COM O CONJUNTO AFRODITE DE COLCHA E FRONHAS!</strong></em></h2>
<p>Este lindo conjunto de fronhas e colcha são <strong>refinados, respiráveis e muito confortáveis.</strong> Feitos com tecido de<strong> alta qualidade e maciez incomparável</strong> para te trazer muitos benefícios na hora de deitar em sua cama. Os bordados dourados nas laterais chamam a atenção, proporcionando muito <strong>luxo e exclusividade.</strong></p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0520/1140/1370/files/afrodite-gif1_480x480.gif?v=1656703946"" width=""388"" height=""388""></p>
<h3><em><strong>DIFERENCIAIS DO CONJUNTO AFRODITE </strong></em></h3>
<p>✔<strong> Alta qualidade de artesanato e design -</strong> os conjuntos Afrodite são produzidos por profissionais renomados, com bordados elegantes e acabamento perfeito! Com certeza seu quarto irá ficar muito mais lindo e requintado com esta colcha e fronhas!</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0520/1140/1370/products/S3e5dc8fb42b34026a46f6fc798cfe87bg_480x480.jpg?v=1656702257"" alt=""""></p>
<p><strong>✔ Colcha que não escapa e não embaraça</strong>- Design profundo, com renda ao redor de toda a parte inferior e elástico por baixo, o que evita que os cantos apareçam, mesmo se você se virar durante a noite toda. </p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0520/1140/1370/products/S6a261b49c8dd4893aa546bab7010bc1c0_480x480.jpg?v=1656704601""></p>
<p><strong>✔ Tecido Premium em Algodão -</strong> respirável, resistente a rugas, muito macio e confortável para a experiência definitiva de dormir e decorar o quarto em grande estilo. O tecido muito super soft feito em algodão não agride a pele e ainda é muito macio e sensível ao toque. </p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0520/1140/1370/files/Hd8c47366ad88405bbd92603b0194c8a3s_480x480.png?v=1656704714""></p>
<p><strong>Conteúdo do Pacote: </strong></p>
<ul>
<li>Colcha + Duas Fronhas;</li>
</ul>
<p><strong>Tamanhos e Dimensões da Colcha:</strong></p>
<ul>
<li>King: 200x220 cm;</li>
<li>Queen: 180x200 cm;</li>
<li>Casal: 150x200 cm; </li>
<li>Viúva: 120x200cm;</li>
</ul>
<p><strong>Mais Detalhes: </strong></p>
<ul>
<li>Saias Laterais com design e acabamento perfeito!</li>
<li>Fronhas trabalhadas minunciosamente!  </li>
<li>Elástico que se agarra firmemente à sua cama! </li>
</ul>
<div style=""text-align: start;"">
<img src=""https://cdn.shopify.com/s/files/1/0520/1140/1370/files/He8707f5c9b4847de91bfbc8d28a2bea86_1_1024x1024.webp?v=1656705159"" alt="""" style=""float: none;""> </div>
<div>
<div data-mce-fragment=""1""><br></div>
<div data-mce-fragment=""1""><br></div>
</div>
<p><br></p>
<p><br></p>","ModernLar","","","","true","Clique Abaixo Para Selecionar a Cor Desejada","Cinza","Clique Abaixo Para Selecionar o Tamanho Desejado","Viúva (120x200cm)","","","14:10#grey;5:594#120x200cm 3pcs set","0","","","deny","manual","299.40","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/Sd9ffa45715d0413e850cbf2f2cfbbdb79.jpg?v=1762747754","1","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/Sd9ffa45715d0413e850cbf2f2cfbbdb79.jpg?v=1762747754","","active"
"conjunto-afrodite","","","","","","","","","Verde Claro","","Viúva (120x200cm)","","","14:29#green1;5:594#120x200cm 3pcs set","0","","","deny","manual","299.40","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S7f9a7579809a4bbf8fd05ce01dfe27c0F.jpg?v=1762747754","2","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S7f9a7579809a4bbf8fd05ce01dfe27c0F.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Salmão","","Viúva (120x200cm)","","","14:175#duster pink;5:594#120x200cm 3pcs set","0","","","deny","manual","299.40","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S59c2b05d039745d287097e322794cb15r.jpg?v=1762747753","3","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S59c2b05d039745d287097e322794cb15r.jpg?v=1762747753","",""
"conjunto-afrodite","","","","","","","","","Verde Escuro","","Viúva (120x200cm)","","","14:193#green3;5:594#120x200cm 3pcs set","0","","","deny","manual","299.40","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/Se7e375b0a7aa497cb427ccbb8b3cfb37a.jpg?v=1762747754","4","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/Se7e375b0a7aa497cb427ccbb8b3cfb37a.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Azul Piscina","","Viúva (120x200cm)","","","14:366#Lake Blue;5:594#120x200cm 3pcs set","0","","","deny","manual","299.40","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S3e5dc8fb42b34026a46f6fc798cfe87bg.jpg?v=1762747754","5","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S3e5dc8fb42b34026a46f6fc798cfe87bg.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Rosa","","Viúva (120x200cm)","","","14:496#pink;5:594#120x200cm 3pcs set","0","","","deny","manual","299.40","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S1d2cac5592c24e02bc51d5a43cc28ac9n.jpg?v=1762747754","6","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S1d2cac5592c24e02bc51d5a43cc28ac9n.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Amarelo Floral","","Viúva (120x200cm)","","","14:1052#camel;5:594#120x200cm 3pcs set","0","","","deny","manual","299.40","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/Sfc160c25553e490ea77bdbfc94c656f9d.jpg?v=1762747754","7","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/Sfc160c25553e490ea77bdbfc94c656f9d.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Azul Floral","","Viúva (120x200cm)","","","14:350852#blue daisy;5:594#120x200cm 3pcs set","0","","","deny","manual","299.40","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S6a261b49c8dd4893aa546bab7010bc1c0.jpg?v=1762747754","8","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S6a261b49c8dd4893aa546bab7010bc1c0.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Roxo Floral","","Viúva (120x200cm)","","","14:365458#purple flower;5:594#120x200cm 3pcs set","0","","","deny","manual","299.40","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S36fb757cf9564e7cb3dcecc673beefa6X.jpg?v=1762747754","9","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S36fb757cf9564e7cb3dcecc673beefa6X.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Cinza","","Casal (150x200cm)","","","14:10#grey;5:595#150x200cm 3pcs set","0","","","deny","manual","319.40","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/Sd76a9c4985034bcea938fadc9f8d9694C.jpg?v=1762747754","10","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/Sd9ffa45715d0413e850cbf2f2cfbbdb79.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Verde Claro","","Casal (150x200cm)","","","14:29#green1;5:595#150x200cm 3pcs set","0","","","deny","manual","319.40","","TRUE","TRUE","","","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S7f9a7579809a4bbf8fd05ce01dfe27c0F.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Salmão","","Casal (150x200cm)","","","14:175#duster pink;5:595#150x200cm 3pcs set","0","","","deny","manual","319.40","","TRUE","TRUE","","","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S59c2b05d039745d287097e322794cb15r.jpg?v=1762747753","",""
"conjunto-afrodite","","","","","","","","","Verde Escuro","","Casal (150x200cm)","","","14:193#green3;5:595#150x200cm 3pcs set","0","","","deny","manual","319.40","","TRUE","TRUE","","","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/Se7e375b0a7aa497cb427ccbb8b3cfb37a.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Azul Piscina","","Casal (150x200cm)","","","14:366#Lake Blue;5:595#150x200cm 3pcs set","0","","","deny","manual","319.40","","TRUE","TRUE","","","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S3e5dc8fb42b34026a46f6fc798cfe87bg.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Rosa","","Casal (150x200cm)","","","14:496#pink;5:595#150x200cm 3pcs set","0","","","deny","manual","319.40","","TRUE","TRUE","","","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S1d2cac5592c24e02bc51d5a43cc28ac9n.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Amarelo Floral","","Casal (150x200cm)","","","14:1052#camel;5:595#150x200cm 3pcs set","0","","","deny","manual","319.40","","TRUE","TRUE","","","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/Sfc160c25553e490ea77bdbfc94c656f9d.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Azul Floral","","Casal (150x200cm)","","","14:350852#blue daisy;5:595#150x200cm 3pcs set","0","","","deny","manual","319.40","","TRUE","TRUE","","","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S6a261b49c8dd4893aa546bab7010bc1c0.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Roxo Floral","","Casal (150x200cm)","","","14:365458#purple flower;5:595#150x200cm 3pcs set","0","","","deny","manual","319.40","","TRUE","TRUE","","","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S36fb757cf9564e7cb3dcecc673beefa6X.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Cinza","","Queen (180x200cm)","","","14:10#grey;5:596#180x200cm 3pcs set","0","","","deny","manual","339.40","","TRUE","TRUE","","","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/Sd9ffa45715d0413e850cbf2f2cfbbdb79.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Verde Claro","","Queen (180x200cm)","","","14:29#green1;5:596#180x200cm 3pcs set","0","","","deny","manual","339.40","","TRUE","TRUE","","","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S7f9a7579809a4bbf8fd05ce01dfe27c0F.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Salmão","","Queen (180x200cm)","","","14:175#duster pink;5:596#180x200cm 3pcs set","0","","","deny","manual","339.40","","TRUE","TRUE","","","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S59c2b05d039745d287097e322794cb15r.jpg?v=1762747753","",""
"conjunto-afrodite","","","","","","","","","Verde Escuro","","Queen (180x200cm)","","","14:193#green3;5:596#180x200cm 3pcs set","0","","","deny","manual","339.40","","TRUE","TRUE","","","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/Se7e375b0a7aa497cb427ccbb8b3cfb37a.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Azul Piscina","","Queen (180x200cm)","","","14:366#Lake Blue;5:596#180x200cm 3pcs set","0","","","deny","manual","339.40","","TRUE","TRUE","","","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S3e5dc8fb42b34026a46f6fc798cfe87bg.jpg?v=1762747754","",""
"conjunto-afrodite","","","","","","","","","Rosa","","Queen (180x200cm)","","","14:496#pink;5:596#180x200cm 3pcs set","0","","","deny","manual","339.40","","TRUE","TRUE","","","","https://cdn.shopify.com/s/files/1/0630/7040/4667/files/S1d2cac5592c24e02bc51d5a43cc28ac9n.jpg?v=1762747754","",""
